Operation,Status,Category,Cost Formula,Active Weight,Empirical Weight,Reviewer Weight,Effective Cost Example,Confidence,Notes,Exclusion Reason,Hardware FP Instructions (per analytical FLOP),Timing Weight,Perf/Timing Agreement,Measurement Spread (CV),Benchmark Command,Benchmark Size,Total Perf Instructions,Total Timing (ns),Implementation,Weight Tier,Repeats
sqrt,benchmarked,Pointwise Unary,numel(output),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise square root.,,1.30,0.5197,1.9242,0.0736,"np.sqrt(x, out=_out)","x: (10000000,)","[114116931, 130009638, 130009817]",101749130,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L251,baseline,10
square,benchmarked,Pointwise Unary,numel(output),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise x^2.,,1.30,0.5276,1.8954,0.0736,"np.square(x, out=_out)","x: (10000000,)","[114116711, 130009638, 130009597]",103301237,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L252,baseline,10
reciprocal,benchmarked,Pointwise Unary,numel(output),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise 1/x.,,1.30,0.5347,1.8702,0.0736,"np.reciprocal(x, out=_out)","x: (10000000,)","[114116711, 130009638, 130009597]",104702018,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L335,baseline,10
ceil,benchmarked,Pointwise Unary,numel(output),1.0000,0.8783,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to this op). Ratio vs add=0.8783,,0.30,0.5289,1.8907,0.0034,"np.ceil(x, out=_out)","x: (10000000,)","[14116711, 30009638, 30009597]",103561020,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L257,baseline,10
floor,benchmarked,Pointwise Unary,numel(output),1.0000,0.8783,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to this op). Ratio vs add=0.8783,,0.30,0.5312,1.8825,0.0032,"np.floor(x, out=_out)","x: (10000000,)","[14116711, 30009638, 30009597]",104004180,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L258,baseline,10
trunc,benchmarked,Pointwise Unary,numel(output),1.0000,0.8777,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to this op). Ratio vs add=0.8777,,0.30,0.5326,1.8776,0.0035,"np.trunc(x, out=_out)","x: (10000000,)","[14116711, 30009638, 30009597]",104286764,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L380,baseline,10
rint,benchmarked,Pointwise Unary,numel(output),1.0000,0.8722,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to this op). Ratio vs add=0.8722,,0.30,0.5293,1.8893,0.0037,"np.rint(x, out=_out)","x: (10000000,)","[14116711, 30009638, 30009597]",103632755,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L336,baseline,10
sign,benchmarked,Pointwise Unary,numel(output),1.0000,1.0057,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to this op). Ratio vs add=1.0057,,0.30,0.6025,1.6598,0.0043,"np.sign(x, out=_out)","x: (10000000,)","[14116711, 30009638, 30009597]",117964594,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L256,baseline,10
signbit,benchmarked,Pointwise Unary,numel(output),1.0000,0.3407,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to this op). Ratio vs add=0.3407,,0.30,0.2478,4.0355,0.0057,"np.signbit(x, out=_out)","x: (10000000,)","[14116711, 30009638, 30009597]",48518802,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L363,baseline,10
fabs,benchmarked,Pointwise Unary,numel(output),1.0000,1.1184,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to this op). Ratio vs add=1.1184,,0.30,0.9636,1.0378,0.0027,"np.fabs(x, out=_out)","x: (10000000,)","[14116711, 30009638, 30009597]",188667761,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L315,baseline,10
deg2rad,benchmarked,Pointwise Unary,numel(output),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Alias for radians.,,1.30,0.7330,1.3643,0.0736,"np.deg2rad(x, out=_out)","x: (10000000,)","[114116711, 130009638, 130009597]",143518639,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L311,baseline,10
rad2deg,benchmarked,Pointwise Unary,numel(output),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Alias for degrees.,,1.30,0.7325,1.3652,0.0736,"np.rad2deg(x, out=_out)","x: (10000000,)","[114116711, 130009638, 130009597]",143427005,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L331,baseline,10
degrees,benchmarked,Pointwise Unary,numel(output),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Convert radians to degrees element-wise.,,1.30,0.7330,1.3643,0.0736,"np.degrees(x, out=_out)","x: (10000000,)","[114116711, 130009638, 130009597]",143527726,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L312,baseline,10
radians,benchmarked,Pointwise Unary,numel(output),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Convert degrees to radians element-wise.,,1.30,0.7337,1.3630,0.0736,"np.radians(x, out=_out)","x: (10000000,)","[114116711, 130009638, 130009597]",143647343,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L332,baseline,10
logical_not,benchmarked,Pointwise Unary,numel(output),1.0000,0.4378,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to this op). Ratio vs add=0.4378,,0.30,0.4547,2.1993,0.0044,"np.logical_not(x, out=_out)","x: (10000000,)","[14116711, 30009638, 30009597]",89022638,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L328,baseline,10
frexp,benchmarked,Pointwise Unary,numel(output),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Decompose x into mantissa and exponent element-wise.,,1.30,1.2268,0.8151,0.0736,np.frexp(x),"x: (10000000,)","[114116711, 130009638, 130009597]",240213718,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L384,baseline,10
modf,benchmarked,Pointwise Unary,numel(output),1.0000,0.9901,,"1,000 FLOPs (1000 elements)",low,Return fractional and integral parts element-wise.,,1.29,2.0971,0.4768,0.4754,np.modf(x),"x: (10000000,)","[45820141, 129017848, 129909197]",410605164,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L383,baseline,10
spacing,benchmarked,Pointwise Unary,numel(output),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Return ULP spacing for each element.,,1.30,1.4109,0.7088,0.0736,"np.spacing(x, out=_out)","x: (10000000,)","[114116711, 130009638, 130009597]",276252521,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L378,baseline,10
nan_to_num,benchmarked,Pointwise Unary,numel(output),1.0000,3.0865,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to this op). Ratio vs add=3.0865,,0.30,0.0000,N/A,0.0003,"np.nan_to_num(x, out=_out)","x: (10000000,)","[14117551, 30010478, 30010437]",,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L329,baseline,10
isneginf,benchmarked,Pointwise Unary,numel(output),1.0000,0.8331,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to this op). Ratio vs add=0.8331,,0.30,0.7331,1.3641,0.0017,"np.isneginf(x, out=_out)","x: (10000000,)","[14116711, 30009638, 30009597]",143541490,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L323,baseline,10
isposinf,benchmarked,Pointwise Unary,numel(output),1.0000,0.9379,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to this op). Ratio vs add=0.9379,,0.30,0.8106,1.2337,0.0006,"np.isposinf(x, out=_out)","x: (10000000,)","[14116711, 30009638, 30009597]",158722178,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L324,baseline,10
isclose,benchmarked,Pointwise Unary,numel(output),1.0000,3.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise approximate equality test.,,3.60,6.5260,0.1532,0.0525,"np.isclose(a, b)","a: (10000000,), b: (10000000,)","[328214641, 360009654, 360009598]",1277784437,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L399,baseline,10
floor_divide,benchmarked,Pointwise Binary,numel(output),16.0000,3.1888,,"16,000 FLOPs (1000 elements)",medium,Element-wise floor division.,,3.79,9.1220,1.7540,0.0648,"np.floor_divide(a, b, out=_out)","a: (10000000,), b: (10000000,)","[378887531, 360866574, 409984908]",1786073035,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L441,moderate,10
power,benchmarked,Pointwise Binary,numel(output),16.0000,72.1819,,"16,000 FLOPs (1000 elements)",medium,Element-wise exponentiation x**y.,,72.78,7.4837,2.1380,0.1469,"np.power(a, b, out=_out)","a: (10000000,), b: (10000000,)","[7278198601, 7160009654, 9222808248]",1465298682,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L424,moderate,10
float_power,benchmarked,Pointwise Binary,numel(output),16.0000,31.1853,,"16,000 FLOPs (1000 elements)",low,Element-wise exponentiation in float64.,,31.79,7.3582,2.1744,0.5060,"np.float_power(a, b, out=_out)","a: (10000000,), b: (10000000,)","[3178534641, 6160009654, 2408550898]",1440712141,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L440,moderate,10
mod,benchmarked,Pointwise Binary,numel(output),16.0000,0.1821,,"16,000 FLOPs (1000 elements)",low,Element-wise modulo.,,0.78,8.2488,1.9397,0.3057,"np.mod(a, b, out=_out)","a: (10000000,), b: (10000000,)","[78222931, 60009654, 109984908]",1615093752,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L425,moderate,10
remainder,benchmarked,Pointwise Binary,numel(output),16.0000,0.1821,,"16,000 FLOPs (1000 elements)",low,Element-wise remainder (same as mod).,,0.78,8.2622,1.9365,0.3057,"np.remainder(a, b, out=_out)","a: (10000000,), b: (10000000,)","[78222931, 60009654, 109984908]",1617728761,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L463,moderate,10
fmod,benchmarked,Pointwise Binary,numel(output),16.0000,5.5996,,"16,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to comparisons). Ratio vs add=5.5996,,0.60,4.6272,3.4578,0.0178,"np.fmod(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28214641, 60009654, 60009598]",905993611,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L444,moderate,10
arctan2,benchmarked,Pointwise Binary,numel(output),16.0000,53.0000,,"16,000 FLOPs (1000 elements)",high,Element-wise arctan(y/x) considering quadrant.,,53.60,1.2116,13.2057,0.0034,"np.arctan2(a, b, out=_out)","a: (10000000,), b: (10000000,)","[5328214641, 5360009654, 5360009598]",237221062,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L431,moderate,10
hypot,benchmarked,Pointwise Binary,numel(output),16.0000,10.5006,,"16,000 FLOPs (1000 elements)",high,Element-wise Euclidean norm sqrt(x1^2 + x2^2).,,11.10,7.7522,2.0639,0.0312,"np.hypot(a, b, out=_out)","a: (10000000,), b: (10000000,)","[1051162261, 1110120774, 1110066478]",1517869779,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L449,moderate,10
logaddexp,benchmarked,Pointwise Binary,numel(output),16.0000,32.5991,,"16,000 FLOPs (1000 elements)",low,log(exp(x1) + exp(x2)) element-wise.,,33.20,13.0729,1.2239,0.4269,"np.logaddexp(a, b, out=_out)","a: (10000000,), b: (10000000,)","[5195291011, 3319914924, 2180741858]",2559639448,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L455,moderate,10
logaddexp2,benchmarked,Pointwise Binary,numel(output),16.0000,34.0363,,"16,000 FLOPs (1000 elements)",low,log2(2**x1 + 2**x2) element-wise.,,34.64,12.8104,1.2490,0.4557,"np.logaddexp2(a, b, out=_out)","a: (10000000,), b: (10000000,)","[5159803631, 3463642594, 1949649478]",2508251979,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L456,moderate,10
matvec,benchmarked,Pointwise Binary,output_size * contracted_axis,1.0000,0.5551,,"1,000 FLOPs (C=1000)",,EC2 timing = 0.56. BLAS matrix-vector product — efficient.,,0.00,0.0000,N/A,N/A,,,,,,baseline,
vecmat,benchmarked,Pointwise Binary,output_size * contracted_axis,1.0000,0.6085,,"1,000 FLOPs (C=1000)",,EC2 timing = 0.61. BLAS vector-matrix product — efficient.,,0.00,0.0000,N/A,N/A,,,,,,baseline,
add,benchmarked,Pointwise Binary,numel(output),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise addition.,,1.60,0.9643,1.0370,0.1229,"np.add(a, b, out=_out)","a: (10000000,), b: (10000000,)","[128214641, 160009654, 160009598]",188798220,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L418,baseline,10
subtract,benchmarked,Pointwise Binary,numel(output),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise subtraction.,,1.60,0.9571,1.0448,0.1229,"np.subtract(a, b, out=_out)","a: (10000000,), b: (10000000,)","[128214641, 160009654, 160009598]",187388223,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L419,baseline,10
multiply,benchmarked,Pointwise Binary,numel(output),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise multiplication.,,1.60,0.9532,1.0491,0.1229,"np.multiply(a, b, out=_out)","a: (10000000,), b: (10000000,)","[128214641, 160009654, 160009598]",186631919,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L420,baseline,10
divide,benchmarked,Pointwise Binary,numel(output),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise true division.,,1.60,1.0455,0.9565,0.1229,"np.divide(a, b, out=_out)","a: (10000000,), b: (10000000,)","[128214641, 160009654, 160009598]",204700030,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L421,baseline,10
true_divide,benchmarked,Pointwise Binary,numel(output),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise true division (explicit).,,1.60,1.0398,0.9617,0.1229,"np.true_divide(a, b, out=_out)","a: (10000000,), b: (10000000,)","[128214641, 160009654, 160009598]",203585149,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L465,baseline,10
maximum,benchmarked,Pointwise Binary,numel(output),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise maximum (propagates NaN).,,1.60,0.7762,1.2883,0.1229,"np.maximum(a, b, out=_out)","a: (10000000,), b: (10000000,)","[128214641, 160009654, 160009598]",151980827,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L422,baseline,10
minimum,benchmarked,Pointwise Binary,numel(output),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise minimum (propagates NaN).,,1.60,0.7716,1.2960,0.1229,"np.minimum(a, b, out=_out)","a: (10000000,), b: (10000000,)","[128214641, 160009654, 160009598]",151072638,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L423,baseline,10
fmax,benchmarked,Pointwise Binary,numel(output),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise maximum ignoring NaN.,,1.60,0.7759,1.2888,0.1229,"np.fmax(a, b, out=_out)","a: (10000000,), b: (10000000,)","[128214641, 160009654, 160009598]",151911295,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L442,baseline,10
fmin,benchmarked,Pointwise Binary,numel(output),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise minimum ignoring NaN.,,1.60,0.7727,1.2942,0.1229,"np.fmin(a, b, out=_out)","a: (10000000,), b: (10000000,)","[128214641, 160009654, 160009598]",151296431,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L443,baseline,10
greater,benchmarked,Pointwise Binary,numel(output),1.0000,0.5759,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to comparisons). Ratio vs add=0.5759,,0.60,0.5154,1.9402,0.0029,"np.greater(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28214641, 60009654, 60009598]",100907203,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L446,baseline,10
greater_equal,benchmarked,Pointwise Binary,numel(output),1.0000,0.5734,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to comparisons). Ratio vs add=0.5734,,0.60,0.5117,1.9543,0.0032,"np.greater_equal(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28214641, 60009654, 60009598]",100183803,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L447,baseline,10
less,benchmarked,Pointwise Binary,numel(output),1.0000,0.5761,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to comparisons). Ratio vs add=0.5761,,0.60,0.5138,1.9463,0.0031,"np.less(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28214641, 60009654, 60009598]",100603291,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L453,baseline,10
